"MAT_ALU_MATRICULA","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","MAT_TUR_ANO","MAT_TUR_PERIODO","MAT_MEDIA_FINAL"
"472c95439b5d3d2c531ed2f1c91c692a",1109103,"Cálculo Diferencial e Integral I",2016,1,8.5
"472c95439b5d3d2c531ed2f1c91c692a",1307151,"Leitura e Produção de Textos",2016,1,10
"472c95439b5d3d2c531ed2f1c91c692a",1411167,"Programação I",2016,1,8.8
"472c95439b5d3d2c531ed2f1c91c692a",1411174,"Introdução à Computação",2016,1,9
"472c95439b5d3d2c531ed2f1c91c692a",1411180,"Laboratório de Programação I",2016,1,8.8
"05700dfed010f75cc4c77d972f12554b",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"05700dfed010f75cc4c77d972f12554b",1307151,"Leitura e Produção de Textos",2016,1,NA
"05700dfed010f75cc4c77d972f12554b",1411167,"Programação I",2016,1,NA
"05700dfed010f75cc4c77d972f12554b",1411174,"Introdução à Computação",2016,1,3.3
"d36ddde658dc6167e43d6d5ea1d12c81",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,6.4
"d36ddde658dc6167e43d6d5ea1d12c81",1109103,"Cálculo Diferencial e Integral I",2016,1,9.5
"d36ddde658dc6167e43d6d5ea1d12c81",1307151,"Leitura e Produção de Textos",2016,1,9.7
"d36ddde658dc6167e43d6d5ea1d12c81",1411167,"Programação I",2016,1,9.8
"d36ddde658dc6167e43d6d5ea1d12c81",1411174,"Introdução à Computação",2016,1,8.2
"d36ddde658dc6167e43d6d5ea1d12c81",1411180,"Laboratório de Programação I",2016,1,9.8
"d44298e502ccea7844576b5116c0d22b",1109103,"Cálculo Diferencial e Integral I",2016,1,NA
"d44298e502ccea7844576b5116c0d22b",1411167,"Programação I",2016,1,2.8
"d44298e502ccea7844576b5116c0d22b",1411174,"Introdução à Computação",2016,1,2.6
"f19ef337e5e065ff0637c90e80b4761a",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,6.2
"f19ef337e5e065ff0637c90e80b4761a",1109103,"Cálculo Diferencial e Integral I",2016,1,5.8
"f19ef337e5e065ff0637c90e80b4761a",1307151,"Leitura e Produção de Textos",2016,1,7.3
"f19ef337e5e065ff0637c90e80b4761a",1411174,"Introdução à Computação",2016,1,8.2
"f19ef337e5e065ff0637c90e80b4761a",1411167,"Programação I",2016,1,8.8
"f19ef337e5e065ff0637c90e80b4761a",1411180,"Laboratório de Programação I",2016,1,8.8
"0450a6ff239bb963d601e244d00227ab",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,5
"0450a6ff239bb963d601e244d00227ab",1109103,"Cálculo Diferencial e Integral I",2016,1,6.7
"0450a6ff239bb963d601e244d00227ab",1307151,"Leitura e Produção de Textos",2016,1,9.3
"0450a6ff239bb963d601e244d00227ab",1411167,"Programação I",2016,1,9.7
"0450a6ff239bb963d601e244d00227ab",1411174,"Introdução à Computação",2016,1,7
"0450a6ff239bb963d601e244d00227ab",1411180,"Laboratório de Programação I",2016,1,9.7
"80f94773c358b71ed6642e5a18e44c5f",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,6.1
"80f94773c358b71ed6642e5a18e44c5f",1109103,"Cálculo Diferencial e Integral I",2016,1,8.3
"80f94773c358b71ed6642e5a18e44c5f",1307151,"Leitura e Produção de Textos",2016,1,7
"80f94773c358b71ed6642e5a18e44c5f",1411167,"Programação I",2016,1,8.8
"80f94773c358b71ed6642e5a18e44c5f",1411174,"Introdução à Computação",2016,1,8.2
"80f94773c358b71ed6642e5a18e44c5f",1411180,"Laboratório de Programação I",2016,1,8.8
"521d0e896e03cd5f438305c3e9f74110",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"521d0e896e03cd5f438305c3e9f74110",1109103,"Cálculo Diferencial e Integral I",2016,1,0.2
"521d0e896e03cd5f438305c3e9f74110",1411167,"Programação I",2016,1,3.4
"521d0e896e03cd5f438305c3e9f74110",1411174,"Introdução à Computação",2016,1,2
"521d0e896e03cd5f438305c3e9f74110",1411180,"Laboratório de Programação I",2016,1,3.4
"5033a13a329fd83fd1d5893cb24f7f65",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,8.5
"5033a13a329fd83fd1d5893cb24f7f65",1109103,"Cálculo Diferencial e Integral I",2016,1,8.4
"5033a13a329fd83fd1d5893cb24f7f65",1411167,"Programação I",2016,1,9.1
"5033a13a329fd83fd1d5893cb24f7f65",1411174,"Introdução à Computação",2016,1,8.6
"5033a13a329fd83fd1d5893cb24f7f65",1411180,"Laboratório de Programação I",2016,1,9.1
"2a9376733bd3ac6fe755e676b0c9401a",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,9.7
"2a9376733bd3ac6fe755e676b0c9401a",1109103,"Cálculo Diferencial e Integral I",2016,1,9.8
"2a9376733bd3ac6fe755e676b0c9401a",1411167,"Programação I",2016,1,9
"2a9376733bd3ac6fe755e676b0c9401a",1411174,"Introdução à Computação",2016,1,8.9
"2a9376733bd3ac6fe755e676b0c9401a",1411180,"Laboratório de Programação I",2016,1,9
"95b7657cf83af71538a27cec0fe7aae1",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"95b7657cf83af71538a27cec0fe7aae1",1109103,"Cálculo Diferencial e Integral I",2016,1,1
"95b7657cf83af71538a27cec0fe7aae1",1411167,"Programação I",2016,1,7.2
"95b7657cf83af71538a27cec0fe7aae1",1411174,"Introdução à Computação",2016,1,8.1
"349ae9fe343eac46648c5b6114cc2e38",1411167,"Programação I",2016,1,5.5
"349ae9fe343eac46648c5b6114cc2e38",1411174,"Introdução à Computação",2016,1,8.1
"349ae9fe343eac46648c5b6114cc2e38",1411180,"Laboratório de Programação I",2016,1,5.5
"349ae9fe343eac46648c5b6114cc2e38",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,7
"349ae9fe343eac46648c5b6114cc2e38",1109103,"Cálculo Diferencial e Integral I",2016,1,7
"1457bf4b526e3ae16c01054831500a13",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,5
"1457bf4b526e3ae16c01054831500a13",1109103,"Cálculo Diferencial e Integral I",2016,1,7.2
"1457bf4b526e3ae16c01054831500a13",1307151,"Leitura e Produção de Textos",2016,1,9.7
"1457bf4b526e3ae16c01054831500a13",1411167,"Programação I",2016,1,9.3
"1457bf4b526e3ae16c01054831500a13",1411174,"Introdução à Computação",2016,1,8.3
"1457bf4b526e3ae16c01054831500a13",1411180,"Laboratório de Programação I",2016,1,9.3
"64a4d9f228a3c570a37d486dd6491193",1307151,"Leitura e Produção de Textos",2016,1,9
"8fd7d13ede1780662df4643fe408dd5a",1307151,"Leitura e Produção de Textos",2016,1,10
"43ff907e2b9e14e035d06cb81a244e4b",1307151,"Leitura e Produção de Textos",2016,1,7.8
"64a4d9f228a3c570a37d486dd6491193",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,9.7
"64a4d9f228a3c570a37d486dd6491193",1411167,"Programação I",2016,1,5.7
"64a4d9f228a3c570a37d486dd6491193",1411180,"Laboratório de Programação I",2016,1,5.6
"64a4d9f228a3c570a37d486dd6491193",1411174,"Introdução à Computação",2016,1,5.6
"64a4d9f228a3c570a37d486dd6491193",1109103,"Cálculo Diferencial e Integral I",2016,1,7.1
"ab227b3b0db9b61a4eb9073a92ef5eb7",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,6.4
"ab227b3b0db9b61a4eb9073a92ef5eb7",1307151,"Leitura e Produção de Textos",2016,1,8
"ab227b3b0db9b61a4eb9073a92ef5eb7",1411174,"Introdução à Computação",2016,1,8.6
"ab227b3b0db9b61a4eb9073a92ef5eb7",1411180,"Laboratório de Programação I",2016,1,8.6
"ab227b3b0db9b61a4eb9073a92ef5eb7",1411167,"Programação I",2016,1,8.6
"ab227b3b0db9b61a4eb9073a92ef5eb7",1109103,"Cálculo Diferencial e Integral I",2016,1,8.5
"a2b5432111e4c6d856c8e35da304b3ee",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,7.4
"a2b5432111e4c6d856c8e35da304b3ee",1411180,"Laboratório de Programação I",2016,1,6.6
"a2b5432111e4c6d856c8e35da304b3ee",1411174,"Introdução à Computação",2016,1,8.2
"a2b5432111e4c6d856c8e35da304b3ee",1411167,"Programação I",2016,1,6.6
"a2b5432111e4c6d856c8e35da304b3ee",1109103,"Cálculo Diferencial e Integral I",2016,1,9.3
"a4d3d654bb9247c704e4c9bb895e2d32",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"a4d3d654bb9247c704e4c9bb895e2d32",1109103,"Cálculo Diferencial e Integral I",2016,1,5.3
"a4d3d654bb9247c704e4c9bb895e2d32",1307151,"Leitura e Produção de Textos",2016,1,NA
"a4d3d654bb9247c704e4c9bb895e2d32",1411167,"Programação I",2016,1,NA
"a4d3d654bb9247c704e4c9bb895e2d32",1411174,"Introdução à Computação",2016,1,5.6
"a4d3d654bb9247c704e4c9bb895e2d32",1411180,"Laboratório de Programação I",2016,1,4.3
"6d77b09bab450c6c6785befc04e0c21f",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"6d77b09bab450c6c6785befc04e0c21f",1109103,"Cálculo Diferencial e Integral I",2016,1,NA
"6d77b09bab450c6c6785befc04e0c21f",1307151,"Leitura e Produção de Textos",2016,1,8.7
"6d77b09bab450c6c6785befc04e0c21f",1411174,"Introdução à Computação",2016,1,2.8
"6d77b09bab450c6c6785befc04e0c21f",1411180,"Laboratório de Programação I",2016,1,NA
"f9770db3c02865f627652bcfd473bbca",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"f9770db3c02865f627652bcfd473bbca",1109103,"Cálculo Diferencial e Integral I",2016,1,7
